date,monthly_return
1995-02-01,0.04080959312495924
1995-03-01,0.022314669950504573
1995-04-01,0.035195863756968704
1995-05-01,0.03967306132462789
1995-06-01,0.014272674511806693
1995-07-01,0.03822704711783098
1995-08-01,0.004451611250951171
1995-09-01,0.036842468304347564
1995-10-01,0.0023832188197550064
1995-11-01,0.044479366470780546
1995-12-01,0.0094923419445061
1996-01-01,0.041980668044043545
1996-02-01,0.00319030364605144
1996-03-01,0.012720234435792843
1996-04-01,0.015359122451360507
1996-05-01,0.02270018412867625
1996-06-01,0.0035045483820248524
1996-07-01,-0.03987554651784575
1996-08-01,0.019258962721984574
1996-09-01,0.05046692103451478
1996-10-01,0.03764383208311872
1996-11-01,0.07300425861264781
1996-12-01,-0.02857191982036933
1997-01-01,0.06700407349171522
1997-02-01,0.009565855028703218
1997-03-01,-0.04776987091064122
1997-04-01,0.0666728751843566
1997-05-01,0.06320754863018152
1997-06-01,0.03706434176319773
1997-07-01,0.08346651352611656
1997-08-01,-0.051803398027273295
1997-09-01,0.04425985150190925
1997-10-01,-0.020925139029050466
1997-11-01,0.038697042516222746
1997-12-01,0.015032760185839988
1998-01-01,0.016908015812288957
1998-02-01,0.06929457495242808
1998-03-01,0.04577914068085365
1998-04-01,0.01570096175274971
1998-05-01,-0.020768987519267368
1998-06-01,0.03926632467940805
1998-07-01,-0.010374370597824867
1998-08-01,-0.1411792830630504
1998-09-01,0.059895505338722455
1998-10-01,0.08489853867872021
1998-11-01,0.05568281393814045
1998-12-01,0.0618942700882692
1999-01-01,0.03866448981649162
1999-02-01,-0.03206830511645753
1999-03-01,0.038947616009237684
1999-04-01,0.04049266984890121
1999-05-01,-0.02286619859287997
1999-06-01,0.052202266458653446
1999-07-01,-0.028096385542168645
1999-08-01,-0.005178967685638414
1999-09-01,-0.025082789498076297
1999-10-01,0.06707487479617158
1999-11-01,0.016651389185119658
1999-12-01,0.054520639696754136
2000-01-01,-0.0474548328847989
2000-02-01,-0.015226267700564122
2000-03-01,0.09413360159914297
2000-04-01,-0.03266819573326096
2000-05-01,-0.015722866992052165
2000-06-01,0.01728684801947744
2000-07-01,-0.013384548458364343
2000-08-01,0.06534061800411939
2000-09-01,-0.05723064628627017
2000-10-01,-0.0021777659854965714
2000-11-01,-0.07465250676733004
2000-12-01,-0.008268418178159709
2001-01-01,0.04766280884661045
2001-02-01,-0.09538786078942474
2001-03-01,-0.05857178191421242
2001-04-01,0.0883620243326313
2001-05-01,-0.005604668420999603
2001-06-01,-0.026598386593422618
2001-07-01,-0.007380288221228826
2001-08-01,-0.059332469310189206
2001-09-01,-0.0850638429052023
2001-10-01,0.016822740264190728
2001-11-01,0.07797734735534245
2001-12-01,0.002192271345625274
2002-01-01,-0.006392588191635351
2002-02-01,-0.01793658715094204
2002-03-01,0.030319781336165308
2002-04-01,-0.05545776095404231
2002-05-01,-0.0059334256493279725
2002-06-01,-0.0770385401009499
2002-07-01,-0.07559482762989533
2002-08-01,0.006801095743424801
2002-09-01,-0.10884725760581582
2002-10-01,0.08713533745639723
2002-11-01,0.06168113316432344
2002-12-01,-0.06118348538856955
2003-01-01,-0.019801332931953963
2003-02-01,-0.01347891423206049
2003-03-01,-0.0018848243229947492
2003-04-01,0.08898528730693855
2003-05-01,0.05483607719696515
2003-06-01,0.007013847546519569
2003-07-01,0.021704650382354806
2003-08-01,0.020626082837733373
2003-09-01,-0.014688734142709436
2003-10-01,0.05757075477360285
2003-11-01,0.010921754576332487
2003-12-01,0.04537343354322432
2004-01-01,0.02458858347595072
2004-02-01,0.013570447694289722
2004-03-01,-0.01669297552498039
2004-04-01,-0.015481820643275634
2004-05-01,0.017123463286762286
2004-06-01,0.014796722251781746
2004-07-01,-0.02868592934607961
2004-08-01,0.0024360513681680462
2004-09-01,0.005849971476023397
2004-10-01,0.017101005803568325
2004-11-01,0.041431044660029004
2004-12-01,0.028316080737208704
2005-01-01,-0.017802131007162325
2005-02-01,0.02090341435291898
2005-03-01,-0.02213360409025289
2005-04-01,-0.014881019133250462
2005-05-01,0.03222482656941783
2005-06-01,-0.002511046240228354
2005-07-01,0.0424518555214104
2005-08-01,-0.009374654360589041
2005-09-01,0.003752689392910291
2005-10-01,-0.01949496951286467
2005-11-01,0.04395286152318256
2005-12-01,-0.007176456145027155
2006-01-01,0.02944198315985669
2006-02-01,0.005725746264021225
2006-03-01,0.01247764759741532
2006-04-01,0.016658782873608002
2006-05-01,-0.030121324484194245
2006-06-01,-0.0018031987578647213
2006-07-01,0.00891790267123338
2006-08-01,0.021822577239610563
2006-09-01,0.022504208567849737
2006-10-01,0.0360532338749433
2006-11-01,0.01988563628173501
2006-12-01,0.007756277416618662
2007-01-01,0.0206956409956085
2007-02-01,-0.01961742119042309
2007-03-01,0.007592626797270796
2007-04-01,0.04843749657750718
2007-05-01,0.03392053534230777
2007-06-01,-0.018849951584338664
2007-07-01,-0.0271347015044352
2007-08-01,0.012832775427306098
2007-09-01,0.033809662154190345
2007-10-01,0.018375150219122283
2007-11-01,-0.03873252453171705
2007-12-01,-0.01648075784993841
2008-01-01,-0.055474602129842676
2008-02-01,-0.025842662260547433
2008-03-01,-0.013824305998874298
2008-04-01,0.052849152488813056
2008-05-01,0.015116347107382966
2008-06-01,-0.08813723761199499
2008-07-01,-0.004028643729793169
2008-08-01,0.015453738426323582
2008-09-01,-0.09938657985662869
2008-10-01,-0.1603546462253147
2008-11-01,-0.06960640260105666
2008-12-01,0.0016650046156150289
2009-01-01,-0.07466286251936494
2009-02-01,-0.1074490763355409
